Lambda_Values,Tau_0_Values,IsIrreducible,Tau_tilde_bounds,IsTransitionPoint
0.0,1.581349214746845,true,1.8333335630586827,false
1.0,1.7981126291563307,true,4.485987762799131,false
2.0,2.00285581065015,true,5.35238377295209,false
3.0,2.1676679502646814,true,4.116948236246452,false
5.0,2.3888818432536905,true,4.423861651729027,false
6.0,2.7857142737012994,true,3.3571428591763075,false
7.0,2.5738792840700593,true,4.722151719812965,false
8.0,2.65691851530524,true,4.852483218154156,false
9.0,2.7349813956672904,true,4.973276125597939,false
10.0,2.8154393119441745,true,5.060776883553099,false
12.0,2.941646561938258,true,5.596982807383495,false
13.0,3.000819850440482,true,5.853874888493426,false
14.0,3.0577263135939146,true,6.10420093363607,false
15.0,3.123742381060556,true,5.968946525686266,false
16.0,3.1655628403959954,true,6.587301175569999,false
17.0,3.2254812318836694,true,6.380438518233715,false
20.0,3.37042512605281,true,7.258090627879731,false
21.0,3.4175617614587237,true,7.549192903633036,false
22.0,3.4642068516004936,true,7.839669930008258,false
23.0,3.510406303394586,true,8.12957039249519,false
24.0,3.5561997392901925,true,8.418937206604042,false
25.0,3.601621578695694,true,8.707808429411878,false
26.0,3.646701884234497,true,8.996217912123075,false
27.0,3.691467144892432,true,9.284196281233527,false
28.0,3.735939910848545,true,9.571906555275513,false
29.0,3.779872943198421,true,9.861553154588432,false
30.0,3.823081601637112,true,10.150833220466504,false
31.0,3.855624303990795,true,14.989659653275108,false
32.0,3.9074628176022923,true,10.728365028886156,false
33.0,3.948697281821105,true,11.016648969489227,false
34.0,3.9893317798382144,true,11.304631062109424,false
35.0,4.821652469849687,true,17.252416785546504,false
36.0,4.068901421735727,true,11.879741742771603,false
37.0,4.107882564681551,true,12.166894073017547,false
38.0,4.110472156696726,true,17.85905252879191,false
39.0,4.1449700556176,true,18.267442842379268,false
40.0,4.221856514499138,true,13.026865162064235,false
41.0,4.25891876657679,true,13.313058044882627,false
43.0,4.33174777443934,true,13.884797744498526,false
45.0,4.343569835982918,true,20.71110088740784,false
46.0,4.437967222085734,true,14.740901599035594,false
47.0,4.47261913565534,true,15.02589434607495,false
49.0,4.540860876772862,true,15.595352455064786,false
50.0,4.49946342758167,true,22.739832875732613,false
52.0,4.640723501414906,true,16.44829969270585,false
53.0,4.589380853788499,true,23.95419220040261,false
54.0,4.618800774486112,true,24.358539043942233,false
55.0,4.647956869417776,true,24.76267602512442,false
56.0,4.676856114054305,true,25.16660870861866,false
57.0,4.7055051816602855,true,25.570342417001815,false
58.0,4.733910461332845,true,25.973882244913572,false
59.0,4.863310977982395,true,18.433349792008297,false
60.0,4.790013891092987,true,26.78039958041024,false
61.0,4.817723542536126,true,27.183386247102035,false
62.0,4.845212435811611,true,27.586197405726065,false
63.0,4.872485766347542,true,27.98883717201376,false
65.0,4.926405526328289,true,28.79361831365438,false
66.0,4.9530613844108595,true,29.19576720594641,false
67.0,5.102385514161295,true,20.694419533183048,false
68.0,5.005787334195714,true,29.999599335171787,false
70.0,5.0577601105575285,true,30.802832813777005,false
72.0,5.244729881078087,true,22.104102699351422,false
73.0,5.134375153957801,true,32.00661466379011,false
74.0,5.159569579072949,true,32.407601942354695,false
75.0,5.3278109976390695,true,22.948769221768256,false
76.0,5.355140245790245,true,23.2301456849914,false
79.0,5.283111153673039,true,34.410606757227484,false
80.0,5.307354698782176,true,34.81083834489166,false
83.0,5.37920649563511,true,36.01083529620455,false
85.0,5.4264012571036675,true,36.810270886466256,false
86.0,5.449794063142429,true,37.209826236888084,false
87.0,5.473053603988192,true,37.609275498876514,false
88.0,5.496182131822828,true,38.00862018747476,false
89.0,5.519181836087993,true,38.407860833410396,false
95.0,5.651995758768167,true,38.12779917689554,false
104.0,5.834315907411261,true,38.59109812486586,false
105.0,5.853585806920749,true,38.68455066987143,false
106.0,5.872679781346037,true,38.78261009594006,false
109.0,5.928951264839872,true,39.099529552163965,false
110.0,5.947385385323042,true,39.21145180387588,false
113.0,6.001770638536932,true,39.56194468794132,false
116.0,6.054849397741525,true,39.9300428838115,false
121.0,6.140623325289711,true,40.57146509340754,false
123.0,6.174050712630131,true,40.8352818754155,false
129.0,6.271538840274775,true,41.6438427868089,false
131.0,6.303155860213324,true,41.91763893131414,false
133.0,6.334357252564839,true,42.19301350567728,false
134.0,6.3498062213193185,true,42.331208275055204,false
141.0,6.455259061378476,true,43.30549368168274,false
145.0,6.51352688904151,true,43.86576930163344,false
148.0,6.55633973516455,true,44.286840912351444,false
150.0,6.5844760567745375,true,44.56777285858708,false
152.0,6.6122980204559,true,44.848776987838065,false
154.0,6.639813863148323,true,45.12977715088021,false
158.0,6.693958405691097,true,45.69150270209323,false
163.0,6.760050900450302,true,46.39258244060794,false
164.0,6.7730662147941425,true,46.532597523785654,false
170.0,6.849802341059834,true,47.37089955156977,false
172.0,6.874882340554393,true,47.64956289701513,false
175.0,6.912054052940998,true,48.06674918317109,false
177.0,6.936544031080534,true,48.34430399300972,false
181.0,6.984847805137426,true,48.897967643155816,false
182.0,6.996786383870219,true,49.036071231075915,false
183.0,7.008671178094402,true,49.17404652860115,false
190.0,7.090404956139767,true,50.13616608593984,false
191.0,7.10187900081493,true,50.27306806498219,false
194.0,7.136008874221796,true,50.682937543659015,false
197.0,7.1697103318865185,true,51.09153691874804,false
198.0,7.180851095941179,true,51.2274515416948,false
200.0,7.202995708745203,true,51.49884993596333,false
205.0,7.2575784669487895,true,52.174814020879474,false
208.0,7.28981047620571,true,52.578644504077545,false
209.0,7.300470562765313,true,52.71296212053916,false
214.0,7.35315842946071,true,53.38235155365814,false
215.0,7.363576012554997,true,53.51578944042943,false
217.0,7.384293982046886,true,53.782225310161294,false
219.0,7.404857937510497,true,54.04807505962358,false
229.0,7.505457272878414,true,55.36856728148128,false
230.0,7.51532093332586,true,55.499818124267215,false
239.0,7.6025731615252585,true,56.674616817509104,false
247.0,7.677938691975934,true,57.7092467142391,false
253.0,7.733186659499704,true,58.47937779153016,false
254.0,7.7422922328173165,true,58.60725266052917,false
257.0,7.769437629501594,true,58.990061569387,false
260.0,7.796330345680663,true,59.37165517743227,false
261.0,7.805239368200351,true,59.49858483136568,false
262.0,7.814121109079909,true,59.625381044665566,false
263.0,7.822975760926082,true,59.75204421978401,false
267.0,7.858127256147983,true,60.25737463154626,false
268.0,7.866849278397457,true,60.38337869463983,false
270.0,7.884215569992767,true,60.63499543004424,false
272.0,7.901479370351437,true,60.886093041517746,false
279.0,7.961115340316484,true,61.760894001046836,false
284.0,8.002985615825402,true,62.381961074067554,false
290.0,8.052461290002837,true,63.123152827544246,false
292.0,9.346183938963188,true,83.07518894301211,false
298.0,8.117176230152158,true,64.10461402003988,false
299.0,8.125168063652128,true,64.22675972800387,false
300.0,9.457253714534339,true,85.27388377842546,true
