Lambda_Values,Tau_0_Values,IsIrreducible
143.0,6.982059089737192,true
144.0,6.9881804921415664,true
145.0,6.994284314149919,true
146.0,7.000370713435734,true
147.0,7.00643984526684,true
148.0,7.0124918625573605,true
149.0,7.018526915918203,true
150.0,7.024545153706157,true
151.0,7.030546722071631,true
153.0,7.0425004243822125,true
154.0,7.048452840007871,true
155.0,7.054389149658866,true
156.0,7.060309489125573,true
157.0,7.066213992252454,true
158.0,7.072102790977527,true
159.0,7.077976015370768,true
163.0,7.101315707712365,true
164.0,7.107112948680848,true
165.0,7.1128953585379815,true
166.0,7.1186630552730605,true
167.0,7.124416155281217,true
168.0,7.130154773393874,true
169.0,7.135879022908473,true
170.0,7.141589015617448,true
171.0,7.147284861836506,true
172.0,7.152966670432215,true
173.0,7.158634548848927,true
174.0,7.164288603135062,true
175.0,7.169928937968741,true
176.0,7.1755556566828425,true
177.0,7.1811688612894455,true
178.0,7.186768652503699,true
179.0,7.192355129767137,true
181.0,7.203488533975793,true
182.0,7.209035653638383,true
183.0,7.214569844827883,true
184.0,7.220091200949087,true
185.0,7.225599814262208,true
186.0,7.2310957759027295,true
187.0,7.236579175900773,true
190.0,7.252954890156035,true
192.0,7.263810827286529,true
193.0,7.269220688498557,true
194.0,7.274618588869592,true
195.0,7.280004610235351,true
196.0,7.285378833482564,true
197.0,7.290741338564537,true
198.0,7.296092204516365,true
199.0,7.301431509469848,true
200.0,7.306759330668079,true
201.0,7.312075744479726,true
202.0,7.317380826413025,true
203.0,7.322674651129477,true
204.0,7.327957292457272,true
205.0,7.333228823404434,true
206.0,7.338489316171679,true
207.0,7.343738842165058,true
208.0,7.348977472008287,true
209.0,7.354205275554881,true
210.0,7.359422321900011,true
211.0,7.364628679392137,true
212.0,7.369824415644414,true
214.0,7.380184291272347,true
216.0,7.3905024754021635,true
217.0,7.395646094686981,true
218.0,7.4007794835802425,true
219.0,7.405902704848963,true
220.0,7.4110158206084105,true
222.0,7.4212119808589145,true
223.0,7.426295146406857,true
224.0,7.431368448577522,true
225.0,7.436431946367255,true
226.0,7.441485698175275,true
227.0,7.446529761812449,true
228.0,7.451564194509419,true
229.0,7.456589052924972,true
230.0,7.461604393154054,true
232.0,7.471606740660779,true
234.0,7.481571674810179,true
235.0,7.48654024634376,true
237.0,7.496449862703089,true
239.0,7.506323123351955,true
240.0,7.511246248381991,true
241.0,7.516160437224665,true
242.0,7.521065739788163,true
244.0,7.5308498833603785,true
245.0,7.53572882185469,true
247.0,7.545460672569617,true
248.0,7.550313679575318,true
249.0,7.555158136811152,true
251.0,7.564821586780933,true
253.0,7.574451387894386,true
255.0,7.584047898975655,true
257.0,7.593611472364152,true
258.0,7.598381015818763,true
260.0,7.6078958296872585,true
262.0,7.617378559678286,true
264.0,7.626829536889127,true
265.0,7.631543220084949,true
266.0,7.636249052832519,true
267.0,7.64094714241594,true
268.0,7.645637494585096,true
269.0,7.650320148450096,true
270.0,7.654995142787275,true
271.0,7.659662516043201,true
272.0,7.664322306338642,true
274.0,7.67361932086171,true
275.0,7.678256587800328,true
281.0,7.705925351278657,true
282.0,7.7105113396452065,true
283.0,7.715090143950898,true
285.0,7.724226338249584,true
286.0,7.728783796491544,true
288.0,7.737877602503714,true
289.0,7.742413935078007,true
291.0,7.75145496737649,true
292.0,7.755958249372512,true
294.0,7.764930685247547,true
295.0,7.769399973522018,true
