Lambda_Values,Tau_0_Values,IsIrreducible
5.0,5.723795400356106,true
8.0,5.975129722023496,true
11.0,6.159440387769836,true
13.0,6.702503896568005,true
15.0,6.789032747237283,true
16.0,6.83050490968261,true
19.0,6.9445347669389506,true
21.0,7.005043011674527,true
22.0,7.031147932451838,true
23.0,7.055024147905911,true
24.0,7.077645663214864,true
26.0,7.117892278255938,true
28.0,7.1522978673985405,true
29.0,7.1676055725987835,true
30.0,7.1824224782741135,true
31.0,7.19704561439235,true
33.0,7.225740915549968,true
34.0,7.239827023051843,true
35.0,7.253747333486288,true
36.0,7.267328071727663,true
39.0,7.303991545476443,true
40.0,7.314964499399119,true
41.0,7.32537236655244,true
42.0,7.335248417608344,true
43.0,7.344624370384283,true
44.0,7.35353034159237,true
46.0,7.370044708703355,true
47.0,7.377762580164844,true
49.0,7.392958395414311,true
50.0,7.400463990819168,true
51.0,7.407910116664531,true
52.0,7.415298244502576,true
53.0,7.422629784655919,true
54.0,7.429906089775409,true
55.0,7.437128458134199,true
57.0,7.451416323878637,true
58.0,7.458484172332167,true
60.0,7.472473248664863,true
61.0,7.479396573834507,true
62.0,7.486273758725687,true
63.0,7.493105760348639,true
64.0,7.4998935022512425,true
65.0,7.506637876354717,true
66.0,7.513339744048069,true
75.0,7.571872631812258,true
76.0,7.578191095333594,true
78.0,7.590724604830025,true
80.0,7.603124071870554,true
82.0,7.615393888410202,true
84.0,7.6629132286190895,true
85.0,7.666249724336226,true
86.0,7.669574510518895,true
88.0,7.676189518664945,true
90.0,7.682759352151625,true
94.0,7.69576766673569,true
97.0,7.705412850561898,true
98.0,7.708607383898166,true
99.0,7.711791840006567,true
100.0,7.714966327712426,true
102.0,7.473688973194956,true
103.0,7.724431038042149,true
105.0,7.730692907694264,true
108.0,7.740015769803275,true
109.0,7.743105116093778,true
110.0,7.7461854773522045,true
112.0,7.752319598851722,true
114.0,7.758418827257134,true
116.0,7.764483832032019,true
120.0,7.776513737811574,true
121.0,7.779500810045777,true
123.0,7.785450990740737,true
124.0,7.78841424338752,true
125.0,7.791369698459628,true
126.0,7.794317425241388,true
127.0,7.79725749193898,true
129.0,7.803114912659165,true
130.0,7.806032397916259,true
131.0,7.80894248560288,true
132.0,7.811845238881469,true
133.0,7.814740719970573,true
134.0,7.817628990165069,true
135.0,7.820510109855787,true
136.0,7.823384138548636,true
137.0,7.826251134883163,true
138.0,7.829111156650643,true
139.0,7.831964260811639,true
141.0,7.837649940105136,true
142.0,7.840482625156947,true
143.0,7.8433086124728915,true
144.0,7.846127955107689,true
145.0,7.848940705381423,true
146.0,7.851746914894112,true
147.0,7.854546634539893,true
148.0,7.857339914520884,true
149.0,7.860126804360629,true
151.0,7.8656816083962875,true
153.0,7.871211429755176,true
154.0,7.873967088893848,true
155.0,7.876716641496001,true
156.0,7.879460132685327,true
157.0,7.88219760700334,true
160.0,7.890374365636286,true
161.0,7.893088206612029,true
162.0,7.895796245059176,true
163.0,7.898498522243364,true
164.0,7.901195078918204,true
165.0,7.903885955334368,true
166.0,7.906571191248482,true
167.0,7.909250825931815,true
168.0,7.911924898178754,true
170.0,7.917256508206205,true
171.0,7.919914121264824,true
172.0,7.922566322458927,true
174.0,7.9278545950263535,true
176.0,7.933121692880265,true
178.0,7.938367856582157,true
180.0,7.943593360183883,true
181.0,7.946198448382064,true
182.0,7.948798471517351,true
184.0,7.953983452395651,true
185.0,7.95656847413252,true
186.0,7.9591485588057544,true
187.0,7.961723737533702,true
189.0,7.966859499925169,true
190.0,7.969420144139428,true
191.0,7.971976003520269,true
192.0,7.974527107531292,true
193.0,7.9770734853203855,true
194.0,7.979615165724566,true
196.0,7.984684548200318,true
198.0,7.989735479615326,true
199.0,7.992254095096836,true
200.0,7.994768179946599,true
201.0,7.997277760953316,true
202.0,7.999782864630262,true
203.0,8.002283517219348,true
204.0,8.004779744695101,true
205.0,8.007271572768547,true
207.0,8.012242132258047,true
208.0,8.014720913812768,true
209.0,8.017195396249804,true
210.0,8.019665604018678,true
211.0,8.022131561327322,true
212.0,8.024593292145493,true
213.0,8.027050820208117,true
214.0,8.029504169018592,true
215.0,8.031953361852016,true
216.0,8.034398421758354,true
217.0,8.036839371565565,true
218.0,8.03927623388265,true
219.0,8.041709031102657,true
220.0,8.044137785405647,true
222.0,8.048983252933128,true
223.0,8.051400009478566,true
224.0,8.053812809754422,true
225.0,8.05622167491822,true
226.0,8.058626625931135,true
227.0,8.061027683560585,true
228.0,8.063424868382805,true
230.0,8.068207700969612,true
231.0,8.070593388953169,true
232.0,8.072975284572257,true
233.0,8.075353407484082,true
