Lambda_Values,Tau_0_Values,IsIrreducible,Tau_tilde_bounds,IsTransitionPoint
11.0,7.196383833879113,true,12.499999988300354,false
12.0,7.243193320384415,true,13.499999968858312,false
13.0,7.28320656756302,true,14.499999941952712,false
15.0,7.353760603753076,true,16.499999806293328,false
17.0,7.421903884724149,true,18.499999108432938,false
18.0,8.050205874082287,true,20.74998528890903,false
19.0,8.08699636970157,true,21.749991916761452,false
20.0,8.120149630607235,true,22.74999504349714,false
21.0,8.150022488426153,true,23.749996633945138,false
22.0,8.177039300093258,true,24.749995980850542,false
24.0,7.601975134460218,true,23.575222960826665,false
25.0,8.250181376454384,true,26.499999987331606,false
26.0,7.635287451285245,true,22.308823327404248,false
27.0,8.291237406357377,true,28.49999988887965,false
28.0,8.3097246464531,true,29.499999833064415,false
30.0,8.343997662602305,true,31.499999704377164,false
31.0,7.705102012261298,true,26.000531112497107,false
38.0,8.47037254045951,true,39.49999785667174,false
41.0,8.508600680773,true,42.4999977777226,false
42.0,8.52000543897509,true,43.49999778926768,false
43.0,8.530807164206717,true,44.499997815096805,false
44.0,8.541042500539099,true,45.49999785243843,false
45.0,8.550746075881317,true,46.49999789880418,false
47.0,8.56937895022017,true,48.499996355393066,false
50.0,8.596732302744623,true,51.499978077956726,false
51.0,8.605693515585584,true,52.05126573102069,false
52.0,8.614389139346258,true,51.74490176035235,false
53.0,8.622747789341213,true,51.70124026738341,false
54.0,8.630785305647283,true,51.64541470466036,false
56.0,8.64595613387331,true,51.49958376049954,false
57.0,8.653116702371905,true,51.4106825805253,false
58.0,8.660011003444843,true,51.31182235264009,false
59.0,8.66665086582222,true,51.2035028545796,false
60.0,8.67304747181397,true,51.08620636363274,false
63.0,8.690892274007634,true,51.02023685460324,false
65.0,8.702198358403894,true,52.56422918627034,false
68.0,8.718909337680287,true,54.87934563386884,false
69.0,8.724415862392199,true,55.65081537734501,false
70.0,8.72989142191162,true,56.42216742585014,false
72.0,8.740710751269328,true,57.33896457425868,false
74.0,8.75101538883828,true,57.31249034724511,false
75.0,8.75595281078411,true,57.283872827036575,false
76.0,8.760752922877664,true,57.2461473654847,false
77.0,8.76542007632337,true,57.20011985709764,false
78.0,8.769958524907263,true,57.146553026545995,false
79.0,8.774372421146136,true,57.086165881499774,false
80.0,8.778665813094632,true,57.019633722462764,false
81.0,8.859216276220568,true,62.01734336657065,false
82.0,8.8634398392068,true,61.927486428899506,false
84.0,8.871533560161007,true,61.947760796180695,false
